200.0,20.0,500.0,9.0e+11,5e+24,0.010694484659656486,4633333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,300.0,9.0e+11,1e+24,0.007471725684253973,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,300.0,9.0e+11,1e+25,0.009524750248146457,8433333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,300.0,9.0e+11,5e+23,0.0063907130711385865,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,300.0,9.0e+11,5e+24,0.008292486292530028,1150000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,400.0,9.0e+11,1e+24,0.007087457311650091,4233333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,400.0,9.0e+11,1e+25,0.008900970292257913,2400000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,400.0,9.0e+11,5e+23,0.006657515256010303,2083333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,400.0,9.0e+11,5e+24,0.009369093201372327,4633333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,500.0,9.0e+11,1e+24,0.008094168068766268,6433333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,500.0,9.0e+11,1e+25,0.011318083204950077,1216666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,500.0,9.0e+11,5e+23,0.0074191023184538366,4200000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,21.0,500.0,9.0e+11,5e+24,0.008251846355926688,2333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,300.0,9.0e+11,1e+24,0.007159200086468749,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,300.0,9.0e+11,1e+25,0.010166270761788547,4550000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,300.0,9.0e+11,5e+23,0.006281815655828168,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,300.0,9.0e+11,5e+24,0.00888702409087292,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,400.0,9.0e+11,1e+24,0.008749380615867778,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,400.0,9.0e+11,1e+25,0.008827960676163267,3600000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,400.0,9.0e+11,5e+23,0.007473723799132446,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,400.0,9.0e+11,5e+24,0.009483018076984736,2316666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
